S0,K,T,r,sigma,M,N,method,price,delta,gamma,vega,vanna,volga,delta_analytical,gamma_analytical,vega_analytical,vanna_analytical,volga_analytical,delta_error_pct,gamma_error_pct,vega_error_pct,vanna_error_pct,volga_error_pct,time_ms,n_pde_solves,graph_nodes,graph_edges,graph_max_fan_in
95,100.0,0.5,0.05,0.15,51,50,Analytical,2.9303337620006857,0.4227502771471411,0.03884765532478793,26.295006697965835,0.7853022359843628,10.279543271133466,0.4227502771471411,0.03884765532478793,26.295006697965835,0.7853022359843628,10.279543271133466,0.0,0.0,0.0,0.0,0.0,0.3407401964068413,0,0,0,0
95,100.0,0.5,0.05,0.15,51,50,Bumping,2.8743600973570778,0.6073362811376795,0.038120529807926185,26.257451054896872,-0.3690184291528731,22.33261565253386,0.4227502771471411,0.03884765532478793,26.295006697965835,0.7853022359843628,10.279543271133466,43.66313021393762,1.871735915031604,0.14282423845842956,146.99062504136572,117.25299523031603,31.93750698119402,5,0,0,0
95,100.0,0.5,0.05,0.15,51,50,AAD+Bumping,2.9276036849304106,0.413609723260095,0.03998659334972787,25.959772122859,0.9842934973628453,23.817108667098985,0.4227502771471411,0.03884765532478793,26.295006697965835,0.7853022359843628,10.279543271133466,2.1621639017553305,2.931806348202464,1.2748982305175394,25.339449228620932,131.69423036508908,3024.984283838421,5,33630,67066,2
95,100.0,0.5,0.05,0.15,51,50,Double-AAD,2.9276036849304106,0.413609723260095,0.03998659334969883,25.959772122859,0.9807679641904453,23.414101594336127,0.4227502771471411,0.03884765532478793,26.295006697965835,0.7853022359843628,10.279543271133466,2.1621639017553305,2.9318063481277123,1.2748982305175394,24.89050957063297,127.77375391848891,45800.647964002565,3,33630,67066,2
95,100.0,0.5,0.05,0.15,51,50,Edge-Pushing,2.9276036849304106,0.413609723260095,0.03998659334969883,25.959772122859,0.9807679641904453,23.414101594336127,0.4227502771471411,0.03884765532478793,26.295006697965835,0.7853022359843628,10.279543271133466,2.1621639017553305,2.9318063481277123,1.2748982305175394,24.89050957063297,127.77375391848891,44355.997475096956,1,33630,67066,2
95,100.0,0.5,0.05,0.2,51,50,Analytical,4.254540648120496,0.45413894416307565,0.029497767155615372,26.621734857942876,0.5085212948982302,3.93560640105476,0.45413894416307565,0.029497767155615372,26.621734857942876,0.5085212948982302,3.93560640105476,0.0,0.0,0.0,0.0,0.0,0.4972859751433134,0,0,0,0
95,100.0,0.5,0.05,0.2,51,50,Bumping,4.20436586449038,0.5943505419741458,0.028096896163165568,26.78563892681698,-0.17267644512012348,4.083254504614331,0.45413894416307565,0.029497767155615372,26.621734857942876,0.5085212948982302,3.93560640105476,30.87416298759922,4.749074684397347,0.6156776399010707,133.95658094410402,3.751597302006638,34.773924853652716,5,0,0,0
95,100.0,0.5,0.05,0.2,51,50,AAD+Bumping,4.244629122687033,0.45090663786584917,0.030102474179538596,26.583199341740833,0.574248775706479,6.111980394373973,0.45413894416307565,0.029497767155615372,26.621734857942876,0.5085212948982302,3.93560640105476,0.7117439142294308,2.0500094828638864,0.14475208474456333,12.925216990451272,55.299584651959464,2985.0387750193477,5,33630,67066,2
95,100.0,0.5,0.05,0.2,51,50,Double-AAD,4.244629122687033,0.45090663786584917,0.030102474179525288,26.583199341740833,0.5727913114519573,6.044592947615702,0.45413894416307565,0.029497767155615372,26.621734857942876,0.5085212948982302,3.93560640105476,0.7117439142294308,2.0500094828187683,0.14475208474456333,12.63860868728996,53.587333987355144,46611.65247717872,3,33630,67066,2
95,100.0,0.5,0.05,0.2,51,50,Edge-Pushing,4.244629122687033,0.45090663786584917,0.030102474179525288,26.583199341740833,0.5727913114519573,6.044592947615702,0.45413894416307565,0.029497767155615372,26.621734857942876,0.5085212948982302,3.93560640105476,0.7117439142294308,2.0500094828187683,0.14475208474456333,12.63860868728996,53.587333987355144,47449.857029132545,1,33630,67066,2
