strike,maturity,type,iv,market_delta,aad_delta,delta_error,market_gamma,aad_gamma,gamma_error,market_vega,aad_vega,vega_error,market_theta,aad_theta,theta_error
4230.0,0.29568788501026694,call,0.178918,0.840154,0.8574354632479952,0.017281463247995288,0.000544,0.000503183326579161,4.0816673420839e-05,597.6912,563.9848681482281,33.70633185177189,-336.7772,-344.51038853617956,7.7331885361795685
4490.0,0.04380561259411362,put,0.127185,-0.208642,-0.1519514599555727,0.05669054004442731,0.002356,0.0019193766871758043,0.0004366233128241957,275.1065,226.55805736645925,48.54844263354073,-352.3694,-293.43376929561055,58.93563070438944
3800.0,0.2190280629705681,put,0.253705,-0.042594,-0.038705742030068824,0.003888257969931176,0.000168,0.0001535134899485337,1.4486510051466283e-05,193.0349,180.72947122641835,12.305428773581639,-103.4721,-95.3197675972142,8.152332402785802
6500.0,0.3723477070499658,put,0.184461,-0.995412,-0.9977760207659185,0.002364020765918573,1.1e-05,1.3474501560296503e-05,2.4745015602965034e-06,16.20239,19.607381353702294,3.404991353702293,300.6137,313.6531992096433,13.039499209643282
4555.0,0.06570841889117043,call,0.117287,0.609465,0.6814993826831,0.07203438268309992,0.002788,0.0025790947848173124,0.00020890521518268776,450.4001,421.1064006086508,29.293699391349207,-531.7096,-528.0789315657435,3.630668434256563
4550.0,0.33127994524298426,put,0.140566,-0.381114,-0.3490356049919958,0.03207839500800419,0.001027,0.0009936369484823346,3.336305151766536e-05,1002.597,980.2950482888773,22.301951711122683,-127.3182,-123.07666278207495,4.241537217925057
4550.0,0.9089664613278576,put,0.16634,-0.351347,-0.33044116095762655,0.020905839042373475,0.000507,0.0004963886619027778,1.06113380972222e-05,1608.198,1590.0839489287146,18.11405107128553,-64.79197,-60.77480210418662,4.017167895813387
4020.0,0.24914442162902123,put,0.213611,-0.083988,-0.07493547183591254,0.009052528164087456,0.000316,0.0002882473763389422,2.7752623661057775e-05,352.3046,325.00780310267055,27.296796897329443,-132.0467,-121.22184485300886,10.824855146991126
3920.0,0.04654346338124572,put,0.314297,-0.009371,-0.007415034965648715,0.001955965034351286,8.1e-05,6.569154746481187e-05,1.5308452535188138e-05,24.87134,20.359263773944804,4.512076226055196,-81.79881,-66.99532375718991,14.803486242810095
5600.0,0.29568788501026694,put,0.152897,-0.984986,-0.9837877699940993,0.0011982300059006912,8.9e-05,0.00010578414894728802,1.6784148947288023e-05,84.26174,101.3226957012048,17.06095570120479,235.8312,246.0713300547783,10.240130054778291
3560.0,0.4106776180698152,put,0.270173,-0.049492,-0.04560568921584407,0.0038863107841559316,0.000129,0.00012022629587359143,8.773704126408566e-06,299.9756,282.61557404874975,17.360025951250236,-87.03574,-81.66727690713458,5.368463092865426
4200.0,0.5448323066392882,put,0.189046,-0.191462,-0.17842779639335604,0.013034203606643952,0.000427,0.00040629531076103554,2.0704689238964483e-05,917.5805,886.5960633431832,30.984436656816797,-114.7773,-109.43832240993532,5.3389775900646725
4435.0,0.02190280629705681,call,0.140863,0.941783,0.9674725098921648,0.025689509892164786,0.001219,0.0007581547347096444,0.00046084526529035564,78.82654,49.557363288404304,29.26917671159569,-455.4954,-373.31829619335076,82.17710380664926
4445.0,0.16153319644079397,put,0.146336,-0.256623,-0.2236108168286819,0.0330121831713181,0.001196,0.001103973701786589,9.202629821341104e-05,592.6278,552.8729460787554,39.7548539212446,-211.6062,-197.17061982413816,14.435580175861844
3330.0,0.04654346338124572,put,0.520065,-0.001375,-0.0015285532047195627,0.00015355320471956277,9e-06,9.612770092646458e-06,6.127700926464579e-07,4.317834,4.929677669272593,0.6118436692725924,-25.30039,-27.178076105625337,1.8776861056253367
3400.0,0.06570841889117043,put,0.434885,-0.002987,-0.0025364569253007174,0.00045054307469928265,1.8e-05,1.5324434904601282e-05,2.6755650953987183e-06,10.69427,9.277555441395549,1.4167145586044505,-34.68676,-30.097577226198723,4.5891827738012765
4655.0,0.06570841889117043,call,0.10511,0.308953,0.38869061680104444,0.07973761680104446,0.002856,0.003090796049251651,0.00023479604925165116,413.402,452.26090335765457,38.85890335765458,-397.0025,-449.5124444272069,52.509944427206904
4700.0,0.04654346338124572,put,0.103981,-0.867099,-0.7927867073430157,0.07431229265698425,0.002155,0.00276927148118326,0.0006142714811832603,205.7873,283.94345599123335,78.15615599123336,-46.96554,-129.81179509339017,82.84625509339017
4475.0,0.02737850787132101,call,0.136741,0.856171,0.9060514686053525,0.049880468605352446,0.002188,0.0016096809409817836,0.0005783190590182162,171.7209,127.67385542607644,44.04704457392356,-613.3142,-520.4228047558281,92.89139524417192
4675.0,0.3723477070499658,put,0.12992,-0.504687,-0.46880006519819073,0.03588693480180927,0.0011,0.0010899386218159134,1.0061378184086705e-05,1107.242,1117.06998287516,9.827982875159933,-80.60115,-80.07475073500268,0.5263992649973233
